"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS","TH","FI","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_LANGUAGE_LOCALIZED_NAME","English",,,,,,,,,,,,,,,,,,,,
"TID_LOADING","Loading...",,,,,,,,,,,,,,,,,,,,
"TID_TIME_M_S","<M>:<S>",,,,,,,,,,,,,,,,,,,,
"TID_TIME_DAYS","d",,,,,,,,,,,,,,,,,,,,
"TID_TIME_HOURS","h",,,,,,,,,,,,,,,,,,,,
"TID_TIME_MINS","m",,,,,,,,,,,,,,,,,,,,
"TID_TIME_SECS","s",,,,,,,,,,,,,,,,,,,,
"TID_TIME_PREPARATION","PREPARATION LEFT:",,,,,,,,,,,,,,,,,,,,
"TID_TIME_LEFT","TIME LEFT:",,,,,,,,,,,,,,,,,,,,
"TID_TIME_OUT","TIME OUT!",,,,,,,,,,,,,,,,,,,,
"TID_ENDS_IN","ENDS IN:",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_START","START",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_OK","OK",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_CANCEL","CANCEL",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_CLEAR","CLEAR",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_SPEEDUP","SPEED UP",,,,,,,,,,,,,,,,,,,,
"TID_CONFIRM_BUTTON_YES","YES",,,,,,,,,,,,,,,,,,,,
"TID_CLOSE","CLOSE",,,,,,,,,,,,,,,,,,,,
"TID_ON","ON",,,,,,,,,,,,,,,,,,,,
"TID_OFF","OFF",,,,,,,,,,,,,,,,,,,,
"TID_TRAIN_MORE_UNITS","No units left.",,,,,,,,,,,,,,,,,,,,
"TID_MAX_AMOUNT_OF_UNITS_ADDED","You can place only <num> <name>",,,,,,,,,,,,,,,,,,,,
"TID_DEPLOY_SOME_UNITS","Place your units first",,,,,,,,,,,,,,,,,,,,
"TID_DEFENCE_TROOPS","DEFENSE",,,,,,,,,,,,,,,,,,,,
"TID_PLACE_YOUR_DEFENCE_TROOPS","PLACE DEFENSES",,,,,,,,,,,,,,,,,,,,
"TID_PLACE_YOUR_DEFENCE_TROOPS_HINT","It produces GOLD and earns you STARS!",,,,,,,,,,,,,,,,,,,,
"TID_DEFENCE_COMPLETED","COMPLETE!",,,,,,,,,,,,,,,,,,,,
"TID_SHOP","SHOP",,,,,,,,,,,,,,,,,,,,
"TID_HOME_ATTACK","ATTACK",,,,,,,,,,,,,,,,,,,,
"TID_HOME_DEFENSE","GOLD MINE",,,,,,,,,,,,,,,,,,,,
"TID_HOME_FIND_DEFENSE","FIND GOLD MINE",,,,,,,,,,,,,,,,,,,,
"TID_HOME_DOMINATION","DOMINATION",,,,,,,,,,,,,,,,,,,,
"TID_X","X",,,,,,,,,,,,,,,,,,,,
"TID_HIGH_SCORES","HIGHSCORES",,,,,,,,,,,,,,,,,,,,
"TID_MATCHMAKING","MATCHMAKING",,,,,,,,,,,,,,,,,,,,
"TID_CANCEL","CANCEL",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_OUTPOST","GOLD MINE",,,,,,,,,,,,,,,,,,,,
"TID_ENTER_NAME_TITLE","My name is...",,,,,,,,,,,,,,,,,,,,
"TID_CHOOSE_CAREFULLY","Choose wisely, you cannot change this later!",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_DONE","DONE",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_CLEAR_TROOPS","CLEAR",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_UNDO","UNDO",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_HOME","HOME",,,,,,,,,,,,,,,,,,,,
"TID_WAIT_UNTIL_ABILITY_IS_READY","Wait while ability recharges!",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Update is available!",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Good news! A new version of the game is available.",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Update",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Error!",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_OUT_OF_SYNC","Client and server are out of sync!",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Reload game",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Maintenance break",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Sorry, the servers are under maintenance. Please try again later.",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Try again",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_BANNED_TITLE","You have been banned!",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_BANNED","You have been banned temporarily",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_BANNED_BUTTON","Okay",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Connection error",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_CONNECTION_FAILED","Unable to connect with the server. Check your internet connection and try again.",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Try again",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Connection lost",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_CONNECTION_LOST","You have lost connection with the server. Check your internet connection and try again.",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Try again",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Anyone there?",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","You have been disconnected due to inactivity.",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Reload game",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Login failed",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_LOGIN_FAILED","Please try again later.",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Try again",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_LOGIN_FAILED_DISABLED_FOR_COUNTRY","Account creation is currently disabled for your location",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE","Purchase failed",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_PURCHASE_FAILED","Billing server not responding. Please try again later.",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON","Ok",,,,,,,,,,,,,,,,,,,,
"TID_ACCOUNT_DISABLED_TEXT","Account Disabled",,,,,,,,,,,,,,,,,,,,
"TID_ACCOUNT_DELETED_ON_REQUEST_TEXT","This account has been disabled due to a deletion request and can no longer be recovered.",,,,,,,,,,,,,,,,,,,,
"TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT","This account has been disabled due to inactivity and can no longer be recovered.",,,,,,,,,,,,,,,,,,,,
"TID_ACCOUNT_DELETION_WARNING_TITLE","Account Deletion Warning",,,,,,,,,,,,,,,,,,,,
"TID_ACCOUNT_DELETION_WARNING_TEXT","Following your request your account will be deleted in <time>. If you have changed your mind contact Help and Support to cancel your deletion request.",,,,,,,,,,,,,,,,,,,,
"TID_ACCOUNT_DELETION_SOON_WARNING_TEXT","Following your request your account will be deleted soon.",,,,,,,,,,,,,,,,,,,,
"TID_ACCOUNT_DELETION_WARNING_CONTACT_PS","You have requested this account to be deleted. You have <time> left to cancel the deletion.",,,,,,,,,,,,,,,,,,,,
"TID_ERROR_POP_UP_BANNED_CONTACT_US_BUTTON","Contact Support",,,,,,,,,,,,,,,,,,,,
"TID_CONFIRM_OKAY","Okay",,,,,,,,,,,,,,,,,,,,
"TID_PLAYER_IS_UNDER_COOLDOWN","Player is on DOMINATION cooldown!",,,,,,,,,,,,,,,,,,,,
"TID_TRAIN","USE AGAIN",,,,,,,,,,,,,,,,,,,,
"TID_TRAINING","Get TROOPS",,,,,,,,,,,,,,,,,,,,
"TID_TRAINING_AIRDROP","Get AIRDROPS",,,,,,,,,,,,,,,,,,,,
"TID_CHOOSE_COMMANDER","Change COMMANDER",,,,,,,,,,,,,,,,,,,,
"TID_NUM_SPACE_LEFT","<num>/<max>",,,,,,,,,,,,,,,,,,,,
"TID_DIAMOND_BUTTON_FREE","FREE!",,,,,,,,,,,,,,,,,,,,
"TID_NOT_ENOUGH_RESOURCES","You don't have enough gold!",,,,,,,,,,,,,,,,,,,,
"TID_NOT_ENOUGH_RESOURCES_TITLE","Not enough <resource>!",,,,,,,,,,,,,,,,,,,,
"TID_NOT_ENOUGH_RESOURCES_TEXT","Buy missing <num> <resource>?",,,,,,,,,,,,,,,,,,,,
"TID_NOT_ENOUGH_RESOURCES_TEXT_ROUNDED_UP","Buy <num> <resource>?",,,,,,,,,,,,,,,,,,,,
"TID_NOT_ENOUGH_DIAMONDS","Not enough Gems!",,,,,,,,,,,,,,,,,,,,
"TID_NAME_FAILED","Invalid name. Please, try another name!",,,,,,,,,,,,,,,,,,,,
"TID_MAX_UNITS_TRAINED","TROOPS READY",,,,,,,,,,,,,,,,,,,,
"TID_MAX_AIRDROPS_TRAINED","AIRDROPS READY",,,,,,,,,,,,,,,,,,,,
"TID_ATTACK","ATTACK",,,,,,,,,,,,,,,,,,,,
"TID_DEFENDER","Defender",,,,,,,,,,,,,,,,,,,,
"TID_DEFENCE","DEFENSE",,,,,,,,,,,,,,,,,,,,
"TID_SINGLE_PLAYER","Single Player",,,,,,,,,,,,,,,,,,,,
"TID_MULTIPLAYER","Multiplayer",,,,,,,,,,,,,,,,,,,,
"TID_MATCHMAKE","Find opponent",,,,,,,,,,,,,,,,,,,,
"TID_LEVEL_NUM","<num>",,,,,,,,,,,,,,,,,,,,
"TID_UNLOCK_UNIT","Unlock <name>",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_RESEARCH","UPGRADE\nAVAILABLE",,,,,,,,,,,,,,,,,,,,
"TID_BUTTON_UPGRADE_TROOP","UPGRADE",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_HQ","HQ",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_HELICOPTER","CHOPPER",,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_INFO_HQ",,,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_INFO_HELICOPTER",,,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_INFO_LABORATORY",,,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_INFO_SUPPLY",,,,,,,,,,,,,,,,,,,,,
"TID_BUILDING_INFO_STATUE",,,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_CARD_DEFAULT","COMMANDER",,,,,,,,,,,,,,,,,,,,
"TID_COMMNADER_CARD_SOLDIER","COACH",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_CARD_GRENADE","LADY GRENADE",,,,,,,,,,,,,,,,,,,,
"TID_COMMNADER_CARD_DINO","B.I.G.",,,,,,,,,,,,,,,,,,,,
"TID_COMMNADER_CARD_BEARMAN","BEARMAN",,,,,,,,,,,,,,,,,,,,
"TID_COMMNADER_CARD_EGGMACHINE","MOTHER",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_CARD_INFO_DEFAULT","Default Commander",,,,,,,,,,,,,,,,,,,,
"TID_COMMNADER_CARD_INFO_SOLDIER","Always referring to himself in the 3rd person, Coach believes in shouting first and asking questions later – said Coach.\n\nABILITY: Boosts your units' attack speed and move speed.",,,,,,,,,,,,,,,,,,,,
"TID_COMMANDER_CARD_INFO_GRENADE","Straight outta Centre Court, Lady Grenade's preferred greeting is a savage chest bump she likes to call the Grand Slam.\n\nABILITY: Serves up a volley of grenades.",,,,,,,,,,,,,,,,,,,,
"TID_COMMNADER_CARD_INFO_DINO","Notorious for a' firin' his laser, B.I.G. also loves to read archaeology novels while imprisoned inside the robot dinosaur.\n\nABILITY: Jumps forward and lands with a S.T.O.M.P.",,,,,,,,,,,,,,,,,,,,
"TID_COMMNADER_CARD_INFO_BEARMAN","Being raised by bears gave Bearman a unique perspective on life, but he never learned to talk so no one knows what it is.\n\nABILITY: Charges forward, smashing through and into things.",,,,,,,,,,,,,,,,,,,,
"TID_COMMNADER_CARD_INFO_EGGMACHINE","From the safety of her weird egg tank, Mother runs her tech startup. It takes a bold CEO to add a cannon to their office.\n\nABILITY: Hires a couple of loyal Henchmen.",,,,,,,,,,,,,,,,,,,,
"TID_ABILITY_RAGE","BOOST",,,,,,,,,,,,,,,,,,,,
"TID_ABILITY_HEAL","HEAL",,,,,,,,,,,,,,,,,,,,
"TID_ABILITY_BOMBARD","SATELLITE",,,,,,,,,,,,,,,,,,,,
"TID_ABILITY_INVISIBILITY","INVISIBILITY",,,,,,,,,,,,,,,,,,,,
"TID_ABILITY_BOX_DROP","ARCADE",,,,,,,,,,,,,,,,,,,,
"TID_ABILITY_PARATROOPER","PARATROOPERS",,,,,,,,,,,,,,,,,,,,
"TID_ABILITY_FRIDGE","FRIDGE",,,,,,,,,,,,,,,,,,,,
"TID_ABILITY_INFO_RAGE","Boosts your units' attack speed and move speed with words of encouragement, delivered in an uplifting tone.",,,,,,,,,,,,,,,,,,,,
"TID_ABILITY_INFO_HEAL","Heals your units with some sort of green energy... and a 5-step healing program! Expect more emotionally stable troops after use.",,,,,,,,,,,,,,,,,,,,
"TID_ABILITY_INFO_BOMBARD","Show that you mean business by pulling an object out of orbit and landing it on the enemy! Deals HUGE damage in a large area.",,,,,,,,,,,,,,,,,,,,
"TID_ABILITY_INFO_INVISIBILITY","Makes your units invisible for a few seconds, even while attacking. Everyone's a ninja!",,,,,,,,,,,,,,,,,,,,
"TID_ABILITY_INFO_BOX_DROP","Drop an arcade machine on them like a total rockstar. Damages enemy units in a small area and destroys obstacles.",,,,,,,,,,,,,,,,,,,,
"TID_ABILITY_INFO_PARATROOPER","Drops two Troopers on the enemy. Hawaiian shirts and hairy legs falling from the sky – geronimo!",,,,,,,,,,,,,,,,,,,,
"TID_ABILITY_INFO_FRIDGE","Freezes enemy units and sends a chilling message: someone left the fridge door open overnight and the yogurt has gone bad...",,,,,,,,,,,,,,,,,,,,
"TID_CARD_SOLDIER","TROOPERS",,,,,,,,,,,,,,,,,,,,
"TID_CARD_SHIELD","SHIELDS",,,,,,,,,,,,,,,,,,,,
"TID_CARD_GRENADE","PITCHER",,,,,,,,,,,,,,,,,,,,
"TID_CARD_TANK","TANK",,,,,,,,,,,,,,,,,,,,
"TID_CARD_BAZOOKA","BAZOOKA",,,,,,,,,,,,,,,,,,,,
"TID_CARD_GORILLA","GORILLA",,,,,,,,,,,,,,,,,,,,
"TID_CARD_JETPACK","JETPACKS",,,,,,,,,,,,,,,,,,,,
