"Name","TID","Rarity","Range","SightRange","DeployTime","TriggerRadius","TriggerTime","Speed","Hitpoints","HitSpeed","NewTargetHitSpeed","LoadTime","LoadFirstHit","Damage","AlertAll","IconSWF","IconExportName","StopTimeAfterAttack","Projectile","CustomFirstProjectile","MultipleProjectiles","MultipleTargets","AllTargetsHit","MinimumRange","LandingEffect","AttacksGround","AttacksAir","AttackPrepareTime","DeathDamageRadius","DeathDamage","DeathPushBack","AttackPushBack","LifeTime","ProjectileEffect","AreaDamageOnLineDist","AreaDamageRadius","TargetOnlyBuildings","BuffOnDamage","BuffOnDamageTime","StartingBuff","StartingBuffTime","BuffWhenNotAttacking","BuffWhenNotAttackingTime","BuffWhenNotAttackingEffect","BuffWhenNotAttackingRemoveEffect","UseAnimator","UseVehicleAnimator","FileName","BlueExportName","RedExportName","AttachedCharacter","AttachedCharacterHeight","DealDamageEffect","DeathEffect","DeathEffect2","MoveEffect","LoopMoveEffect","SpawnBaseAnimExportName","SpawnStartEffect","SpawnEndEffect","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","ShadowCustom","Pushback","IgnorePushback","Scale","CollisionRadius","CollisionW","CollisionH","NoCollisionWithOwnTeam","DeployTileW","DeployTileH","Mass","AreaBuff","AreaBuffTime","AreaBuffRadius","HealthBar","HealthBarOffsetY","ShowHealthNumber","FlyingHeight","FlyDirectPaths","FlyFromGround","DamageBaseAnim","AttackBaseAnim","GrowTime","GrowSize","MorphCharacter","MorphEffect","HealOnMorph","AreaEffectOnMorph","MorphTime","MorphKeepTarget","AttackStartEffect","ContinuousAttackEffect","ContinuousEffect","SpawnOnTrigger","SpawnStartTime","SpawnInterval","SpawnNumber","SpawnLimit","DestroyAtLimit","SpawnPauseTime","SpawnCharacterLevelIndex","SpawnCharacter","SpawnProjectile","SpawnCharacterEffect","SpawnDeployBaseAnim","DeathSpawnCount","DeathSpawnCharacter","DeathSpawnProjectile","DeathSpawnTargetedProjectile","DeathSpawnRadius","DeathSpawnMinRadius","DeathSpawnDelay","DeathSpawnDeployTime","DeathSpawnPushback","DeathAreaEffect","DeathInheritIgnoreList","Kamikaze","KamikazeTime","KamikazeEffect","SpawnPathfindSpeed","SpawnPathfindEffect","SpawnPathfindMorph","SpawnPushback","SpawnPushbackRadius","SpawnAreaObject","SpawnAreaObjectLevelIndex","TakeDamageEffect","ShieldTakeDamageEffect","ProjectileStartRadius","ProjectileStartRadius2","ProjectileStartZ","StopMovementAfterMS","WaitMS","DontStopMoveAnim","IsSummonerTower","TargettedDamageEffect1","TargettedDamageEffect2","TargettedDamageEffect3","DamageLevelTransitionEffect12","DamageLevelTransitionEffect23","FlameEffect1","FlameEffect2","FlameEffect3","TargetEffectY","SelfAsAoeCenter","HidesWhenNotAttacking","TakeDamageHidden","HideTimeMs","HideBeforeFirstHit","TargetedHitEffect","UpTimeMs","HideEffect","AppearEffect","AppearPushbackRadius","AppearPushback","AppearAreaObject","HasRotationOnTimeline","TurretMovement","ProjectileYOffset","SightClip","AreaEffectOnDash","SightClipSide","WalkingSpeedTweakPercentage","ShieldHitpoints","ShieldDiePushback","ShieldLostEffect","BlueShieldExportName","RedShieldExportName","LoadAttackEffect1","LoadAttackEffect2","LoadAttackEffect3","LoadAttackEffectReady","TurretRotateAngleSpeed","RotateAngleSpeed","RetargetAfterAttack","AttackShakeTime","SprayAngle","Burst","BurstDelay","BurstKeepTarget","BurstAffectAnimation","ProduceResource","DeathResource","DeathResourceAmount","GivesStars","DefenceTroopCount","DefenceTroopCharacter","DefenceTroopSpawnAtTime","DefenceTroopRespawnTime","DefenceTroopLevelIndex","ColorMulR","ColorMulG","ColorMulB","ColorAddR","ColorAddG","ColorAddB","VariableDamageTime1","VariableDamageTime2","VariableDamage2","VariableDamage3","VariableHitSpeed2","VariableHitSpeed3","JumpSpeed","JumpHeight","JumpTime","AbilityDamage","AbilityDamageRadius","AbilityPushback","DashPrepareTime","DashLandingTime","DashMinRange","DashMaxRange","DashMinTime","DashConstantTime","TriggerEffect","GroundLayer","IsTank"
"string","string","String","int","int","int","int","int","int","int","int","int","int","boolean","int","boolean","string","string","int","string","string","int","int","boolean","int","string","boolean","boolean","int","int","int","int","int","int","string","int","int","boolean","string","int","string","int","string","int","string","string","boolean","boolean","string","string","string","string","int","string","string","string","string","boolean","string","string","string","int","int","int","int","int","string","int","boolean","int","int","int","int","boolean","int","int","int","string","int","int","string","int","boolean","int","boolean","boolean","string","string","int","int","string","string","boolean","string","int","boolean","string","string","string","boolean","int","int","int","int","boolean","int","int","string","string","string","string","int","string","string","boolean","int","int","int","int","boolean","string","boolean","boolean","int","string","int","string","string","int","int","string","int","string","string","int","int","int","int","int","boolean","boolean","string","string","string","string","string","string","string","string","int","boolean","boolean","boolean","int","boolean","string","int","string","string","int","int","string","boolean","int","int","int","string","int","int","int","int","string","string","string","string","string","string","string","int","int","boolean","int","int","int","int","boolean","boolean","string","string","int","int","int","String","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","String","boolean","boolean"
"Mortar","TID_BUILDING_MORTAR","Common",12000,12000,100,12000,,,500,3200,,4000,,,,"sc/building_mortar.sc","mortar_lvl1_active",,"MortarProjectile",,,,,2500,,"true",,,,,,,,"Rush_mortar_fire",,,,,,,,,,,,,,"sc/building_mortar.sc","mortar_lvl1_active","mortar_lvl1_active",,,,"Starbox_big_destroy","Starbox_debris_small",,,"filter_deploy_unit_default","Deploy_cannon","giant_skeleton_deploy",-90,90,-3,8,10,,,,100,1500,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,"true",5,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mine","TID_BUILDING_MINE","Common",3500,3500,100,2250,1300,,,,,,,,,"sc/traps.sc","mine_lvl1_setup",,,,,,,,,"true",,,1500,80,1000,,,,,,,,,,,,,,,,,"sc/traps.sc","mine_lvl1_setup","mine_lvl1_setup",,,,"MineExplosion","mine_debris",,,"filter_deploy_unit_default","Deploy_mine","giant_skeleton_deploy",120,110,-1,4,,,,,140,,,,"true",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,10,,,,,,,,,,,,,,,,,,,,,,"trap_appear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wall","TID_BUILDING_WALL","Common",,,100,,,,300,,,,,,,"sc/buildings.sc","Brickwall_shop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/building_defences.sc","def_wall_01","def_wall_01",,,,"WallDie",,,,,"Place_wall","giant_skeleton_deploy",100,100,,,,,,,100,,1000,1000,,,,,,,,"Small",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannon","TID_BUILDING_CANNON","Common",6000,6000,100,6000,,,800,850,,,,,,"sc/building_cannon.sc","cannon_lvl1_active",,"CannonProjectile",,,,,,,"true","true",,,,,,,"Rush_cannon_fire",,,,,,,,,,,,,,"sc/building_cannon.sc","cannon_lvl1_active","cannon_lvl1_active",,,,"Starbox_big_destroy","Starbox_debris_small",,,"filter_deploy_unit_default","Deploy_cannon","giant_skeleton_deploy",-90,90,-3,8,10,,,,100,1500,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,600,,,,,,,,,,,,,,,,,,,,,,,,,,"true",10,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OUTPOST_Gold","TID_BUILDING_GOLD","Common",,,100,1,,,500,,,,,,,"sc/home_buildings.sc","goldmine_lvl1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/home_buildings.sc","goldmine_lvl1","goldmine_lvl1",,,,"Starbox_big_destroy","Starbox_debris",,,"filter_deploy_unit_default",,"giant_skeleton_deploy",-90,90,-4,20,5,"goldmine_lvl1_shadow",,,100,500,2000,2000,"true",6,6,,,,,,,,,,,"filter_damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gold",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OUTPOST_StarBoxBig","TID_BUILDING_STAR_BOX_BIG","Common",,,100,1,,,500,,,,,,,"sc/level_collectables.sc","Star_box_big",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/level_collectables.sc","Star_box_big","Star_box_big",,,,"Starbox_big_destroy","Starbox_debris",,,"filter_deploy_unit_default",,"giant_skeleton_deploy",100,100,-2,5,8,,,,100,500,2000,2000,"true",4,4,,,,,,,,,,,"filter_damage",,,,,,,,,,,,"starbox_shimmer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OUTPOST_StarBox","TID_BUILDING_STAR_BOX","Common",,,100,1,,,500,,,,,,,"sc/level_collectables.sc","Star_box",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/level_collectables.sc","Star_box","Star_box",,,,"Starbox_big_destroy","Starbox_debris_small",,,"filter_deploy_unit_default",,"giant_skeleton_deploy",100,50,-2,14,10,,,,100,500,2000,2000,"true",4,4,,,,,,,,,,,"filter_damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PlumberHut","TID_BUILDING_PLUMBER_HUT","Rare",,,100,6000,,,500,,,,,,,"sc/buildings_guardpost.sc","guard_post",,,,,,,,,"true","true",,,,,,,,,,,,,,,,,,,,,"sc/buildings_guardpost.sc","guard_post","guard_post",,,,"Starbox_big_destroy","Starbox_debris_small",,,"filter_deploy_unit_default","Deploy_Plumberhut","giant_skeleton_deploy",-90,90,-3,8,10,,,,100,1500,1000,1000,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Plumber",2,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,"lid pop","TRUE",
"RandomUnit","TID_GENERATE_UNIT_POS","Common",6000,6000,100,6000,,,900,850,,,,,,"sc/ui.sc","random_unit_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc/ui.sc","random_unit_base","random_unit_base",,,,"Cannon_die",,,,"filter_deploy_unit_default",,"giant_skeleton_deploy",100,100,-5,-5,,,,,100,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
