"Name","NumberValue","BooleanValue","TextValue","StringArray","NumberArray"
"String","int","boolean","string","String","int"
"SPEED_UP_DIAMOND_COST_1_MIN",1,,,,
"SPEED_UP_DIAMOND_COST_1_HOUR",20,,,,
"SPEED_UP_DIAMOND_COST_24_HOURS",260,,,,
"SPEED_UP_DIAMOND_COST_1_WEEK",1000,,,,
"STARTING_GOLD",500,,,,
"STARTING_MINERAL",,,,,
"STARTING_DIAMONDS",100,,,,
"STARTING_KEYS",10,,,,
"STARTING_AIRDROP_HOUSING",1,,,,
"STARTING_UNIT_HOUSING",3,,,,
"STARTING_DEFENCE_HOUSING",4,,,,
"START_GOLD_CAPACITY",0,,,,
"START_MINERAL_CAPACITY",0,,,,
"REFILL_KEY_COST",10,,,,
"REFILL_LIFE_COST_1_HOUR",6,,,,
"TRAINING_TROOP_SLOTS",-1,,,,
"TRAINING_AIRDROP_SLOTS",-1,,,,
"ATTACK_PREPARATION_DURATION_SECONDS",60,,,,
"ATTACK_DURATION_SECONDS",120,,,,
"FREE_COLLECTABLE_SECONDS",10800,,,,
"ABILITY_TIME_MODIFIER_PERCENT",20,,,,
"HOME_BUILDING_FOR_HOUSING",,,"HOME_Helicopter",,
"TUTORIAL_NPC_LEVEL_COUNT",4,,,,
"NAME_QUERY_NPC_LEVEL_COUNT",3,,,,
"RESET_CARD_USAGE_STATS_BATTLES",10,,,,
"STAR_THRESHOLD_PERCENT",,,,,50
,,,,,75
,,,,,100
"ALLIANCE_CREATE_COST",1000,,,,
"BATTLE_END_GOLD_REWARD",10,,,,
"ACHIEVEMENTS_ENABLED",,"TRUE",,,
"K_FACTOR",,,,,60
"K_FACTOR_THRESHOLDS",,,,,0
"K_FACTOR_GAMEROOM",,,,,60
"K_FACTOR_GAMEROOM_THRESHOLDS",,,,,0
"MINIMUM_CHANGE_FOR_REAL_BATTLE",1,,,,
"TARGET_SCORE",2000,,,,
"SHOP_DAILY_DEALS_ENABLED",,"FALSE",,,
"SHOP_DAILY_PACKS",,,,"Shop_Pack1",
,,,,"Shop_Pack2",
,,,,"Shop_Pack3",
"LOSE_SCORE_MILESTONES",,,,,0
,,,,,400
,,,,,800
,,,,,1200
,,,,,1600
,,,,,2000
,,,,,2500
,,,,,3000
,,,,,3300
"LOSE_SCORE_PERCENTAGES",,,,,0
,,,,,35
,,,,,60
,,,,,75
,,,,,83
,,,,,88
,,,,,94
,,,,,98
,,,,,100
"MINIMUM_SCORE",0,,,,
"PROTECTION_CAP_PERCENTAGE",90,,,,
"MAX_MESSAGE_LENGTH",256,,,,
"MAX_ALLIANCE_MAIL_LENGTH",256,,,,
"RESOURCE_DIAMOND_COST_1",1,,,,
"RESOURCE_DIAMOND_COST_10",1,,,,
"RESOURCE_DIAMOND_COST_100",8,,,,
"RESOURCE_DIAMOND_COST_1000",60,,,,
"RESOURCE_DIAMOND_COST_10000",500,,,,
"RESOURCE_DIAMOND_COST_100000",4500,,,,
"RESOURCE_DIAMOND_COST_1000000",45000,,,,
"MAX_RESOURCE_PURCHASE_SIZE",1000000,,,,
"ALLIANCE_SCORE_CONTRIBUTION_PERCENTAGE",,,,,50
,,,,,25
,,,,,12
,,,,,10
,,,,,3
"ATTACK_FINISH_TIME_MS",250,,,,
"BATTLE_PING_SAMPLE_SECONDS",15,,,,
"EXTRA_BUFF_RADIUS",2000,,,,
"MELEE_RANGE_LIMIT",1900,,,,
"LEAVE_ALLIANCE_DONATION_COOLDOWN_MINUTES",150,,,,
"ALLIANCE_UNLOCK_EXP_LEVEL",3,,,,
"ALLIANCE_DONATION_UNLOCK_EXP_LEVEL",3,,,,
"BIG_LIMIT",1000,,,,
"SUPER_LIMIT",50000,,,,
"TEAM_MAIL_COOLDOWN_SECS",43200,,,,
"DEVICE_LINK_CODE_LENGTH",12,,,,
"DEVICE_LINK_CODE_VALID_SECONDS",120,,,,
"DISABLE_COMBAT_COMPONENT_ON_DEATH",,"FALSE",,,
"AVOID_WATER_ATTACK_POS",,"TRUE",,,
"ALLOW_AOE_ATTACKS_WITHOUT_TARGET",,"TRUE",,,
"EXTRA_SIGHT_RANGE_TO_BUILDING",0,,,,
"ADD_CHARACTER_RANGE_TO_RADIUS",,"TRUE",,,
"ELDER_KICK_COOLDOWN",1200,,,,
"AUTO_RELEASE_STAGGERED_CARDS",,"TRUE",,,
"LOGIC_CHARACTER_CONTINUOUS_DAMAGE_ATTACK_CLOSER",500,,,,
"LOGIC_CANCEL_HIT_FROM_LONG_DISTANCE",,"TRUE",,,
"LOGIC_CANCEL_HIT_FROM_LONG_DISTANCE_RANGE",1500,,,,
"LOGIC_PRESERVE_TARGET_IF_HIT_STARTED",,"TRUE",,,
"LOGIC_PENDING_DAMAGE_IGNORE_IF_DURATION_LESS",600,,,,
"LOGIC_LOAD_FIRST_HIT_RESET_TIMER_AFTER_ATTACK",,"TRUE",,,
"LOGIC_LOAD_FIRST_HIT_RESET_TIMER_WHEN_ZAPPED",,"TRUE",,,
"ALLIANCE_TROPHY_LIMITS",,,,,0
,,,,,200
,,,,,400
,,,,,600
,,,,,800
,,,,,1000
,,,,,1200
,,,,,1400
,,,,,1600
,,,,,1800
,,,,,2000
,,,,,2200
,,,,,2400
,,,,,2600
,,,,,2800
,,,,,3000
,,,,,3200
,,,,,3400
,,,,,3600
,,,,,3800
,,,,,4000
,,,,,4300
,,,,,4600
"FLY_FROM_GROUND_DURATION",800,,,,
"UNIT_ALARM_PROPAGATION_MS_PER_TILE",40,,,,
"TRAP_VISIBLE_AT_DISTANCE_TILES",12,,,,
"FIXED_DROPS",,,,,
"FIXED_DROP_COUNTERS",,,,,
"DROP_CYCLE",,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Epic",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Epic",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
,,,,"Common",
,,,,"Common",
,,,,"Common",
,,,,"Rare",
