"Name","Disabled","NPC","WaitTimeMS","EndCondition","StartingTutorial","DragExportName","TargetCard","TargetCard2","UnitTileX","UnitTileY","Dependency","PreCondition","TutorialCharacterExportName","Right","CommanderText","BlockInput","HilightObject","ReticleX","ReticleY","HideBattleLineup"
"String","boolean","String","int","String","boolean","String","String","String","int","int","String","String","String","boolean","String","boolean","int","int","int","boolean"
"NPC1_Start_Delay",,"Tutorial_1",1500,,"TRUE",,,,,,,,"tutorial_input_blocker",,,"true",,,,"true"
"NPC1_Intro",,"Tutorial_1",,"RemoveTooltip","TRUE",,,,,,"NPC1_Start_Delay",,"tutorial_character",,"TID_COMMANDER_TEXT_INTRO","true",,,,"true"
"NPC1_Place_Unit",,"Tutorial_1",,"PlaceTroop","TRUE","Tutorial_Hand1","Soldier",,12,14,"NPC1_Intro",,,,,,,,,
"NPC3_Start_Delay",,"Tutorial_3",1500,,"TRUE",,,,,,,,"tutorial_input_blocker",,,"true",,,,"true"
"NPC3_Intro",,"Tutorial_3",,"RemoveTooltip","TRUE",,,,,,"NPC3_Start_Delay",,"tutorial_character",,"TID_COMMANDER_TEXT_AIRDROP","true",,38,7,"true"
"NPC3_Shoot",,"Tutorial_3",,"PlaceAirdrop","TRUE","Tutorial_Hand1","ArcadeDrop",,38,7,"NPC3_Intro",,,,,,,38,7,
"NPC4_Start_Delay",,"Tutorial_4",1500,,"TRUE",,,,,,,,"tutorial_input_blocker",,,"true",,,,"true"
"NPC4_Intro",,"Tutorial_4",,"RemoveTooltip","TRUE",,,,,,"NPC4_Start_Delay",,"tutorial_character",,"TID_COMMANDER_TEXT_LAST_TUTORIAL",,,,,"true"
"Commander_Delay","TRUE",,1500,,"TRUE",,,,,,,"CommanderUnlocked","tutorial_input_blocker",,,"true",,,,
"Commander_Info","TRUE",,,"RemoveTooltip","TRUE",,,,,,"Commander_Delay",,"tutorial_character",,"TID_COMMANDER_TEXT_HELP_COMMANDER","true",,,,
